Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping_Duration_days,Profit_Margin,Sales_Tier,Revenue_per_Item
8446,CA-2017-125451,2017-10-23,2017-10-24,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,240.744,4,0.3,-13.7568,1.0,-0.05714285714285714,High,60.186
8451,CA-2017-125451,2017-10-23,2017-10-24,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,2.22,1,0.0,0.666,1.0,0.3,Low,2.22
8450,CA-2017-125451,2017-10-23,2017-10-24,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",43.44,8,0.0,21.2856,1.0,0.49,Medium,5.43
1261,CA-2017-117079,2017-10-23,2017-10-27,Standard Class,JR-15700,Jocasta Rupert,Consumer,United States,Jacksonville,Florida,32216,South,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,863.88,3,0.2,107.985,4.0,0.125,High,287.96
8449,CA-2017-125451,2017-10-23,2017-10-24,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,3,0.3,-127.5792,1.0,-0.2,High,212.63199999999998
3856,US-2017-105389,2017-10-23,2017-10-28,Second Class,DM-13015,Darrin Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,3.564,3,0.8,-6.237,5.0,-1.75,Low,1.188
2895,CA-2017-139913,2017-10-23,2017-10-29,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,14609,East,FUR-FU-10000771,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",69.08,11,0.0,29.0136,6.0,0.42000000000000004,Medium,6.28
2894,CA-2017-139913,2017-10-23,2017-10-29,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,14609,East,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),26.4,5,0.0,11.88,6.0,0.45000000000000007,Medium,5.279999999999999
2893,CA-2017-139913,2017-10-23,2017-10-29,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,14609,East,OFF-PA-10003739,Office Supplies,Paper,Xerox 1969,11.56,2,0.0,5.6644,6.0,0.48999999999999994,Low,5.78
3857,US-2017-105389,2017-10-23,2017-10-28,Second Class,DM-13015,Darrin Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-PH-10002824,Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,823.96,5,0.2,51.4975,5.0,0.0625,High,164.792
3858,US-2017-105389,2017-10-23,2017-10-28,Second Class,DM-13015,Darrin Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10000634,Office Supplies,Art,Newell 320,10.272,3,0.2,0.8988,5.0,0.08750000000000001,Low,3.424
2896,CA-2017-139913,2017-10-23,2017-10-29,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,14609,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,35.88,3,0.0,10.0464,6.0,0.27999999999999997,Medium,11.96
4150,CA-2017-106068,2017-10-23,2017-10-28,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,55.2,1,0.2,-2.07,5.0,-0.0375,Medium,55.2
4148,CA-2017-106068,2017-10-23,2017-10-28,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",9.762,3,0.8,-15.1311,5.0,-1.5499999999999998,Low,3.254
4151,CA-2017-106068,2017-10-23,2017-10-28,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",259.136,4,0.2,-58.3056,5.0,-0.22499999999999998,High,64.784
8448,CA-2017-125451,2017-10-23,2017-10-24,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,FUR-FU-10000277,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,210.68,2,0.0,50.5632,1.0,0.24,High,105.34
4149,CA-2017-106068,2017-10-23,2017-10-28,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,13.72,1,0.2,1.2005,5.0,0.0875,Low,13.72
8447,CA-2017-125451,2017-10-23,2017-10-24,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,FUR-FU-10004963,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",35.0,4,0.0,14.7,1.0,0.42,Medium,8.75
9612,CA-2017-144365,2017-10-24,2017-10-30,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Jackson,Mississippi,39212,South,OFF-FA-10000735,Office Supplies,Fasteners,Staples,11.68,4,0.0,5.256,6.0,0.45,Low,2.92
8678,CA-2017-141705,2017-10-24,2017-10-26,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Mansfield,Texas,76063,Central,FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,517.405,5,0.3,-81.3065,2.0,-0.15714285714285714,High,103.481
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,7.0,0.34,Medium,19.99
6664,CA-2017-162173,2017-10-26,2017-11-01,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Virginia Beach,Virginia,23464,South,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",356.85,5,0.0,60.6645,6.0,0.16999999999999998,High,71.37
8808,US-2017-110646,2017-10-26,2017-10-31,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10004330,Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",33.282,3,0.7,-27.735,5.0,-0.8333333333333334,Medium,11.094
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,7.0,0.48,Low,3.08
7332,CA-2017-115119,2017-10-26,2017-10-30,Standard Class,SC-20440,Shaun Chance,Corporate,United States,Lancaster,Pennsylvania,17602,East,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,61.542,1,0.4,-13.3341,4.0,-0.21666666666666665,Medium,61.542
9532,CA-2017-102729,2017-10-26,2017-10-31,Standard Class,BF-11215,Benjamin Farhat,Home Office,United States,Dallas,Texas,75217,Central,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",55.616,2,0.2,5.5616,5.0,0.1,Medium,27.808
8810,US-2017-110646,2017-10-26,2017-10-31,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001404,Office Supplies,Labels,Avery 517,14.76,5,0.2,4.9815,5.0,0.33749999999999997,Low,2.952
6665,CA-2017-162173,2017-10-26,2017-11-01,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Virginia Beach,Virginia,23464,South,OFF-EN-10002831,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",251.58,7,0.0,113.211,6.0,0.44999999999999996,High,35.940000000000005
7333,CA-2017-115119,2017-10-26,2017-10-30,Standard Class,SC-20440,Shaun Chance,Corporate,United States,Lancaster,Pennsylvania,17602,East,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",81.438,7,0.7,-65.1504,4.0,-0.8,Medium,11.634
8809,US-2017-110646,2017-10-26,2017-10-31,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10002807,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,118.65,5,0.4,19.775,5.0,0.16666666666666666,Medium,23.73
9241,CA-2017-110310,2017-10-27,2017-11-02,Standard Class,NB-18655,Nona Balk,Corporate,United States,Tallahassee,Florida,32303,South,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,5.607,3,0.7,-3.9249,6.0,-0.7,Low,1.869
